Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
Gift of Prescience,<:NaaluFlag:799977317937446953> Naalu,,,,,,Twilight Imperium 4,"**At the end of the strategy phase:**|Place this card faceup in your play area and place the Naalu ""0"" token on your strategy card; you are first in initiative order. The Naalu player cannot use their TELEPATHIC faction ability during this game round.|Return this card to the Naalu player at the end of the status phase.",,,"naalu note, naalu"
Greyfire Mutagen,<:YinFlag:799978188410322967> Yin,,,,,,Twilight Imperium 4,"**After a system is activated:**|The Yin player cannot use faction abilities or faction technology during this tactical action.|Then, return this card to the Yin player.",,See also Greyfire Mutagen Omega,
Greyfire Mutagen Omega,<:YinFlag:799978188410322967> Yin,,,,,,Codex 1: Ordinian,"**At the start of a ground combat against 2 or more ground forces that are not controlled by the Yin player:**|Replace 1 of your opponent's infantryr with 1 infantry from your reinforcements.|Then, return this card to the Yin player.",,Replaces Greyfire Mutagen.,"yin note, greyfire, yin"
Keleres Rider,<:Keleres:976289632692092968> Keleres,,,,,,Codex 3: Vigil,"**After an agenda is revealed:**|You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, draw 1 action card and gain 2 trade goods.|Then, return this card to the Keleres player.",,,"keleres note, keleres, rider"
Military Support,<:SolFlag:799977825205616661> Sol,,,,,,Twilight Imperium 4,"**At the start of the Sol player's turn:**|Remove 1 token from the Sol player's strategy pool, if able, and return it to their reinforcements. Then, you may place 2 infantry from your reinforcements on any planet you control.|Then, return this card to the Sol player.",,,"sol note, sol"
Political Favor,<:XxchaFlag:799978104940003328> Xxcha,,,,,,Twilight Imperium 4,"**When an agenda is revealed:**|Remove 1 token from the Xxcha player's strategy pool and return it to their reinforcements. Then, discard the revealed agenda and reveal 1 agenda from the top of the deck. Players vote on this agenda instead.|Then, return this card to the Xxcha player.",,,"xxcha note, xxcha"
Political Secret,Generic,,,,,,Twilight Imperium 4,"**When an agenda is revealed:**|The (color) player cannot vote, play action cards, or use faction abilities until after that agenda has been resolved.|Then, return this card to the (color) player.",,,
Promise of Protection,<:MentakFlag:799977177000574986> Mentak,,,,,,Twilight Imperium 4,"**Action:** Place this card faceup in your play area.|While this card is in your play area, the Mentak player cannot use their PILLAGE faction ability against you.|If you activate a system that contains 1 or more of the Mentak player's units, return this card to the Mentak player.",,,"mentak note, pop, mentak"
Ragh's Call,<:SaarFlag:799977657303302154> Saar,,,,,,Twilight Imperium 4,"**After you commit 1 or more units to land on a planet:**|Remove all of the Saar player's ground forces from that planet and place them on a planet controlled by the Saar player. Then, return this card to the Saar player.",,,"saar note, saar"
Research Agreement,<:JolNarFlag:799976866643050506> Jol-Nar,,,,,,Twilight Imperium 4,"**After the Jol-Nar player researches a technology that is not a faction technology:**|Gain that technology.|Then, return this card to the Jol-Nar player.",,,"jol-nar note, jolnar note, ra, jol-nar, jolnar"
Scepter of Dominion,<:MahactFlag:799977081857507338> Mahact,,,,,,Prophecy of Kings,"**At the start of the strategy phase:**|Choose 1 non-home system that contains your units; each other player who has a token on the Mahact player's command sheet places a token from their reinforcements in that system.|Then, return this card to the Mahact player.",,,"mahact note, mahact"
Spy Net,<:YssarilFlag:799978263409459200> Yssaril,,,,,,Twilight Imperium 4,"**At the start of your turn:**|Look at the Yssaril player's hand of action cards. Choose 1 of those cards and add it to your hand.|Then, return this card to the Yssaril player.",,,"yssaril note, yssaril"
Strike Wing Ambuscade,<:ArgentFlag:799976364152193044> Argent,,,,,,Prophecy of Kings,"**When 1 or more of your units make a roll for a unit ability:**|Choose 1 of those units to roll 1 additional die.|Then, return this card to the Argent player.",,,"argent note, argent"
Stymie,<:ArborecFlag:799976271564111933> Arborec,,,,,,Twilight Imperium 4,"**Action:** Place this card faceup in your play area.|While this card is in your play area, the Arborec player cannot produce units in or adjacent to non-home systems that contain 1 or more of your units.|If you activate a system that contains 1 or more of the Arborec player's units, return this card to the Arborec player.",,See also Stymie Omega,
Stymie Omega,<:ArborecFlag:799976271564111933> Arborec,,,,,,Codex 1: Ordinian,"After another player moves ships into a system that contains 1 or more of your units:|You may place 1 command token from that player's reinforcements in any non-home system.|Then, return this card to the Arborec player.",,Replaces Stymie.,"arborec note, arborec"
Support for the Throne,Generic,,,,,,Twilight Imperium 4,"When you receive this card, if you are not the (color) player, you must place it faceup in your play area and gain 1 victory point.|When you activate a system that contains 1 or more of the (color) player's units, or if the (color) player is eliminated, lose 1 victory point and return this card to the (color) player.",,,sftt
Tekklar Legion,<:SardakkNorrPizzaBoyFlag:799977732058382336> N'orr,,,,,,Twilight Imperium 4,"**At the start of ground combat:**|Apply +1 to the result of each of your unit's combat rolls during this combat. If you opponent is the N'orr player, apply -1 to the result of each of their unit's combat rolls during this combat.|Then, return this card to the N'orr player.",,,"n'orr note, sardakk note, norr note, norr, sardakk, n'orr"
Terraform,<:UlFlag:799977899624235008> Titans,,,,,,Prophecy of Kings,"**Action:** Attach this card to a non-home planet you control other than Mecatol Rex. Its resource and influence values are each increased by 1, and it is treated as having all 3 planet traits (cultural, hazardous, and industrial).",,,"titans note, ul note, titans, ul"
The Cavalry,<:NomadFlag:799977591380901888> Nomad,,,,,,Prophecy of Kings,"**At the start of a space combat against a player other than the Nomad:**|During this combat, treat 1 of your non-fighter ships as if it has the SUSTAIN DAMAGE ability, combat value, and ANTI-FIGHTER BARRAGE value of the Nomad's flagship.|Return this card to the Nomad player at the end of the combat.",,,"nomad note, cavalry, nomad"
Trade Agreement,Generic,,,,,,Twilight Imperium 4,"**When the (color) player replenishes commodities:**|The (color) player gives you all of their commodities. Then, return this card to the (color) player.",,,ta
Trade Convoys,<:HacanFlag:799976797784768513> Hacan,,,,,,Twilight Imperium 4,"**Action:** Place this card faceup in your play area.|While this card is in your play area, you may negotiate transactions with players who are not your neighbor.|If you activate a system that contains 1 or more of the Hacan player's units, return this card to the Hacan player.",,,"hacan note, hacan"
War Funding,<:LetnevFlag:799976459325407243> Letnev,,,,,,Codex 1: Ordinian,"**At the start of a round of space combat:**|The Letnev Player loses 2 trade goods.|During this combat round, reroll any number of your dice.|Then, return this card to the Letnev player.",,See also War Funding Omega,
War Funding Omega,<:LetnevFlag:799976459325407243> Letnev,,,,,,Twilight Codex Volume I: Ordinian,"**After you and your opponent roll dice during space combat:**|You may reroll all of your opponent's dice.|You may reroll any number of your dice.|Then, return this card to the Letnev player.",,Replaces War Funding.,"barony note, letnev note, barony, letnev"
