Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
Jol,<:JolNarFlag:799976866643050506> Universities of Jol-Nar,,<:R1:864278976524189727> <:I2:864278934249406474>,,,12,Twilight Imperium 4,,"Covered by cold oceans and a few inhospitable islands. The seat of the Headmaster, the Hylar ruler, who dwells in the deep underwater city of Wun-Escha.",,
Nar,<:JolNarFlag:799976866643050506> Universities of Jol-Nar,,<:R2:864278977133019157> <:I3:864278934786932746>,,,12,Twilight Imperium 4,,Covered by mild oceans and a small archipelago called The Reef by offworlders. The Circle of Regents makes its home in the underwater city-school of Nuun-Dascha.,,
Quinarra,<:SardakkNorrPizzaBoyFlag:799977732058382336> Sardakk N'orr,,<:R3:864278977321631754> <:I1:864278934195798046>,,,13,Twilight Imperium 4,,"Enormous and oceanless. Not only the largest planet supporting sentient life, but also the one with the least moisture. Home to the Sardakk N'orr hive cities.",,
Tren'lak,<:SardakkNorrPizzaBoyFlag:799977732058382336> Sardakk N'orr,,<:R1:864278976524189727> <:I0:864278934032351282>,,,13,Twilight Imperium 4,,"Icy and desolate. Other than the ferocious snow dracs and the rare icemoon flowers, life is restricted to the N'orr boomtowers and ice mines.",,trenlak
Archon Ren,<:XxchaFlag:799978104940003328> Xxcha Kingdom,,<:R2:864278977133019157> <:I3:864278934786932746>,,,14,Twilight Imperium 4,,"Populated by small arboreal villages, this planet's only true urban center is the royal city of Kklaj. The Xxcha home world and home to the renowned library of Xuun.",,
Archon Tau,<:XxchaFlag:799978104940003328> Xxcha Kingdom,,<:R1:864278976524189727> <:I1:864278934195798046>,,,14,Twilight Imperium 4,,Ravaged by Sol and Letnev bombardments during the Twilight Wars. The Xxcha commit substantial resources to rebuilding its ecology and cleansing its toxic continents.,,
Retillion,<:YssarilFlag:799978263409459200> Yssaril Tribes,,<:R2:864278977133019157> <:I3:864278934786932746>,,,15,Twilight Imperium 4,,"A mix of tundra, swamps, rivers, and dense forests. Home to the mysterious, chameleonic Yssaril, whose capital Wueca has eluded all attempts at cartography.",,
Shalloq,<:YssarilFlag:799978263409459200> Yssaril Tribes,,<:R1:864278976524189727> <:I2:864278934249406474>,,,15,Twilight Imperium 4,,"Covered with tundra, wetlands, and rainforest, much like its sister-planet Retillion. Home to Mojeb, the only major Yssaril city catalogued by off-worlders.",,
Arretze,<:HacanFlag:799976797784768513> Emirates of Hacan,,<:R2:864278977133019157> <:I0:864278934032351282>,,,16,Twilight Imperium 4,,"Also called the ""Moving Sand."" The desert home of the Hacan Mowshir trade families and the great orbital trading ports of Haal, Shimax, and Dry Wind.",,
Hercant,<:HacanFlag:799976797784768513> Emirates of Hacan,,<:R1:864278976524189727> <:I1:864278934195798046>,,,16,Twilight Imperium 4,,"Also called the ""Fire Sand."" Seat of the Quieron, the Hacan council, and the Sword Fleet. Harbors the greatest of the famous Hacan moving cities.",,
Kamdorn,<:HacanFlag:799976797784768513> Emirates of Hacan,,<:R0:864278976553156640> <:I1:864278934195798046>,,,16,Twilight Imperium 4,,"Also called the ""Dream Sand."" The least populated of the Hacan planets, but the center of the Hacan mythology and religion. The only known source of starflowers.",,
Wellon,<:TraitIndustrialDisease:859232511925288990>,<:TechCybernetic:786336610014724127>,<:R1:864278976524189727> <:I2:864278934249406474>,,,19,Twilight Imperium 4,,Sky cities suspended in helium-rich atmosphere more noted for fantastic views than the small quantities of exotic elements harvested by their chemical mines.,,
Vefut II,<:TraitHazardous:859232435321307156>,,<:R2:864278977133019157> <:I2:864278934249406474>,,,20,Twilight Imperium 4,,"Massive, rocky world cursed with extreme gravity. Underground cities support advanced research in antigravity technologies.",,
Thibah,<:TraitIndustrialDisease:859232511925288990>,<:TechPropulsion:786336467832012821>,<:R1:864278976524189727> <:I1:864278934195798046>,,,21,Twilight Imperium 4,,Burdened by overpopulation and low mineral content in the planetary crust. Historically used as a staging world for deep-space exploration and trade.,,
Tar'Mann,<:TraitIndustrialDisease:859232511925288990>,<:TechBiotic:786336544393920582>,<:R1:864278976524189727> <:I1:864278934195798046>,,,22,Twilight Imperium 4,,Small isolated planet with small population and modest resources. Most famous for its delicious avinberries.,,tarmann
Saudor,<:TraitIndustrialDisease:859232511925288990>,,<:R2:864278977133019157> <:I2:864278934249406474>,,,23,Twilight Imperium 4,,Prosperous planet with large native population and substantial industry. Extreme axial tilt results in long day-night cycles that some races find uncomfortable.,,
Mehar Xull,<:TraitHazardous:859232435321307156>,<:TechWarfare:786336653085376558>,<:R1:864278976524189727> <:I3:864278934786932746>,,,24,Twilight Imperium 4,,Unstable radiation belts create hazardous living conditions but facilitate research in electro-quantum propulsion technologies.,,
Quann,<:TraitCultural:859232305768038420>,,<:R2:864278977133019157> <:I1:864278934195798046>,,,25,Twilight Imperium 4,,"Since the discovery of the Alpha Wormhole, this temperate planet with two continents and one large ocean has been a haven for traders and smugglers alike.",,
Lodor,<:TraitCultural:859232305768038420>,,<:R3:864278977321631754> <:I1:864278934195798046>,,,26,Twilight Imperium 4,,Wealthy planet ruled by powerful biotech consortiums. Rumored to harbor hidden caches of outlawed bacterial weapons.,,
New Albion,<:TraitIndustrialDisease:859232511925288990>,<:TechBiotic:786336544393920582>,<:R1:864278976524189727> <:I1:864278934195798046>,,,27,Twilight Imperium 4,,Rare atmospheric composition and biochemistry support lifeforms unlike any other in the galaxy.,,
Starpoint,<:TraitHazardous:859232435321307156>,,<:R3:864278977321631754> <:I1:864278934195798046>,,,27,Twilight Imperium 4,,Large planet with eight small moons that supply a wide range of valuable resources. Acidic rains and toxic storms make it an unappealing destination for tourists.,,
Tequ'ran,<:TraitHazardous:859232435321307156>,,<:R2:864278977133019157> <:I0:864278934032351282>,,,28,Twilight Imperium 4,,Desolate planet transformed into a weapons testing facility for large defense consortiums.,,tequran
Torkan,<:TraitCultural:859232305768038420>,,<:R0:864278976553156640> <:I3:864278934786932746>,,,28,Twilight Imperium 4,,Populous planet almost completely dependent on foreign imports to sustain the extravagant lifestyles of its citizens.,,
Qucen'n,<:TraitIndustrialDisease:859232511925288990>,,<:R1:864278976524189727> <:I2:864278934249406474>,,,29,Twilight Imperium 4,,"After the Twilight Wars, existed for centuries as a near-utopia of scattered communal farms free from governmental interference.",,qucenn
Rarron,<:TraitCultural:859232305768038420>,,<:R0:864278976553156640> <:I3:864278934786932746>,,,29,Twilight Imperium 4,,Large populous world with three distinctive moons renowned for its biomodification clinics and cyber boutiques.,,
Mellon,<:TraitCultural:859232305768038420>,,<:R0:864278976553156640> <:I2:864278934249406474>,,,30,Twilight Imperium 4,,"Poor in natural resources, but rich in exotic plant and animal life. Protected as a planetary xenological garden and lifeform preserve.",,
Zohbat,<:TraitHazardous:859232435321307156>,,<:R3:864278977321631754> <:I1:864278934195798046>,,,30,Twilight Imperium 4,,Known for its highly intoxicating Zohlian whiskey and the planetary space elevator that links the surface with orbital stations and shipyards.,,
Lazar,<:TraitIndustrialDisease:859232511925288990>,<:TechCybernetic:786336610014724127>,<:R1:864278976524189727> <:I0:864278934032351282>,,,31,Twilight Imperium 4,,"The only inhabited world in a forgettable system. Few native resources and rudimentary, often underdeveloped, industries.",,
Sakulag,<:TraitHazardous:859232435321307156>,,<:R2:864278977133019157> <:I1:864278934195798046>,,,31,Twilight Imperium 4,,Jungle planet plagued by dangerous predators such as the arboreal razeden. Home to many exotic biochemicals and natural pharmaceuticals.,,
Dal Bootha,<:TraitCultural:859232305768038420>,,<:R0:864278976553156640> <:I2:864278934249406474>,,,32,Twilight Imperium 4,,"A populous planet whose resources have been severely depleted. Well-educated citizenry and many universities, but dependent on foreign imports.",,
Xxehan,<:TraitCultural:859232305768038420>,,<:R1:864278976524189727> <:I1:864278934195798046>,,,32,Twilight Imperium 4,,Known for genetically complex native lifeforms adapted to tainted atmosphere and toxic biochemistry.,,
Corneeq,<:TraitCultural:859232305768038420>,,<:R1:864278976524189727> <:I2:864278934249406474>,,,33,Twilight Imperium 4,,Former garden world that has subsequently enjoyed increased industrialization. Home to the esteemed Free Worlds Academy of Military Science and Research.,,
Resculon,<:TraitCultural:859232305768038420>,,<:R2:864278977133019157> <:I0:864278934032351282>,,,33,Twilight Imperium 4,,"Poor in natural resources, but a nearby nexus of major trade routes has brought it increasing wealth as interstellar commerce has intensified.",,
Centauri,<:TraitCultural:859232305768038420>,,<:R1:864278976524189727> <:I3:864278934786932746>,,,34,Twilight Imperium 4,,Venerable world with few resources but a rich history. Site of important treaties between several races during the Twilight Wars.,,
Gral,<:TraitIndustrialDisease:859232511925288990>,<:TechPropulsion:786336467832012821>,<:R1:864278976524189727> <:I1:864278934195798046>,,,34,Twilight Imperium 4,,Backwater planet with modest resources and an unassuming populace. Most noted for the reliable and affordable vehicles produced in its factories.,,
Bereg,<:TraitHazardous:859232435321307156>,,<:R3:864278977321631754> <:I1:864278934195798046>,,,35,Twilight Imperium 4,,A frozen world that is inhospitable to most races. Indentured laborers risk attacks from arctic sharaks in the infamous lodinium mines.,,
Lirta IV,<:TraitHazardous:859232435321307156>,,<:R2:864278977133019157> <:I3:864278934786932746>,,,35,Twilight Imperium 4,,Covered in vast swamps and fetid bogs. Home to rare biochemical compounds unique to its marshlands used in everything from exotic foods to biogenic drugs.,,lirta 4
Arnor,<:TraitIndustrialDisease:859232511925288990>,,<:R2:864278977133019157> <:I1:864278934195798046>,,,36,Twilight Imperium 4,,"Lush, green world that is renowned for some of the most fertile soil in the galaxy. Dominated by endless fields and the processing facilities of large agricultural firms.",,
Lor,<:TraitIndustrialDisease:859232511925288990>,,<:R1:864278976524189727> <:I2:864278934249406474>,,,36,Twilight Imperium 4,,Wreathed in vast seas of methane ice. Seafloor drilling platforms harvest rare crystals used in advanced computers and energy weapons.,,
Arinam,<:TraitIndustrialDisease:859232511925288990>,,<:R1:864278976524189727> <:I2:864278934249406474>,,,37,Twilight Imperium 4,,Isolated planet poor in resources but rich in natural beauty. Boasts many exotic resorts frequented by the rich and famous of the galaxy.,,
Meer,<:TraitHazardous:859232435321307156>,<:TechWarfare:786336653085376558>,<:R0:864278976553156640> <:I4:864278934501195836>,,,37,Twilight Imperium 4,,Hellish world immolated in the inferno of its nearby sun. Famed for the fiery majesty of its surface when viewed from the safety of its many orbital stations.,,
Abyz,<:TraitHazardous:859232435321307156>,,<:R3:864278977321631754> <:I0:864278934032351282>,,,38,Twilight Imperium 4,,"Its thick, complex atmosphere is inhospitable to most races, but Abyz is known for its seemingly endless natural reserves of rare minerals and precious metals.",,
Fria,<:TraitHazardous:859232435321307156>,,<:R2:864278977133019157> <:I0:864278934032351282>,,,38,Twilight Imperium 4,,"Brutally cold ice world populated only by a few scattered mining camps. Despite its brutal climate, highly prized for its deposits of rare ores used in starship drives.",,
Creuss,<:Ghostleader:799976713135063080> Ghosts of Creuss,,<:R4:864278977355186176> <:I2:864278934249406474>,,,51,Twilight Imperium 4,,"Trapped between matter and void lies the realm of Creuss. Made of trapped light and radioactive gas, this realm hosts the most peculiar forms of life.",,
Ixth,<:MahactFlag:799977081857507338> Mahact Gene-Sorcerers,,<:R3:864278977321631754> <:I5:864278934506176552>,,,52,Prophecy of Kings,,"A dry, dead world of black volcanic mountains and molten seas of lava. The great necropolis of Aior Dol Gorgos on the Plateau Imperia is the only evidence of civilization.",,
Arcturus,<:NomadFlag:799977591380901888> Nomad,,<:R4:864278977355186176> <:I1:864278934195798046>,,,53,Prophecy of Kings,,"Cold and still, with a surface buried beneath kilometers of ice. A few smuggler bases dot the surface, but Sumerian Station circles the planet, making it a vital trading destination.",,
Acheron,<:KebabFlag:799976538744291339> Vuil'raith Cabal,,<:R4:864278977355186176> <:I0:864278934032351282>,,,54,Prophecy of Kings,,"Once a dusty, dead world concealing a portal to Ixth. Now, a gravity rift has shattered the world, creating a labyrinth of strange energies and tumbling shards of rock.",,
Elysium,<:UlFlag:799977899624235008> Titans of Ul,,<:R4:864278977355186176> <:I1:864278934195798046>,,,55,Prophecy of Kings,,"Larger than a thousand terrestrial planets, Elysium is an artifical shell-world built around the powerful singularity in its hollow heart. Its surface is covered in calm seas and cultivated plains.",,
The Dark,<:EmpyreanFlag:799976612216176661> Empyrean,,<:R3:864278977321631754> <:I4:864278934501195836>,,,56,Prophecy of Kings,,"A massive nebula dominating the skies of many core worlds. Thick clouds of dust obscure its heart, a lightless refuge where Empyrean ships have congregated for millennia.",,
Naazir,<:NaazRokhaNRAFlag:799977386720231434> Naaz-Rokha Alliance,,<:R2:864278977133019157> <:I1:864278934195798046>,,,57,Prophecy of Kings,,"A small planet of high mountains and deep, narrow seas. Cities and vertical farms burrow into cliff faces, while orbital factories produce high tech consumer goods.",,
Rokha,<:NaazRokhaNRAFlag:799977386720231434> Naaz-Rokha Alliance,,<:R1:864278976524189727> <:I2:864278934249406474>,,,57,Prophecy of Kings,,Terraformed by comet-drops and Alliance biotech into a cool world with alpine forests and stormy seas. The city of Dormont Vault boasts the famous Exotic Energies Institute.,,
Avar,<:ArgentFlag:799976364152193044> Argent Flight,,<:R1:864278976524189727> <:I1:864278934195798046>,,,58,Prophecy of Kings,,"Lighter than its companion worlds, Avar is riddled with caverns. The majority of the Atharal Torus lives in the bustling aeries within, sheltered from the radiation bursts emanating from nearby Phorus.",,
Valk,<:ArgentFlag:799976364152193044> Argent Flight,,<:R2:864278977133019157> <:I0:864278934032351282>,,,58,Prophecy of Kings,,Valk contains lodes of rare minerals and metals within its crust. Skyhooks bring ore shipments up from the surface to the open-air shipyards in orbit.,,
Ylir,<:ArgentFlag:799976364152193044> Argent Flight,,<:R0:864278976553156640> <:I2:864278934249406474>,,,58,Prophecy of Kings,,"The smallest of the three planets in the Atharal Torus, Ylir is covered in kilometers of water. The Murmeration meets in platform cities that drift with the currents.",,
Archon Vail,<:TraitHazardous:859232435321307156>,<:TechPropulsion:786336467832012821>,<:R1:864278976524189727> <:I3:864278934786932746>,,,59,Prophecy of Kings,,"A former Xxcha colony, its extremely low temperatures create exotic molecular compounds that give the world its famed violet hue. Orbital facilities use the compounds in high-energy stardrive research.",,
Perimeter,<:TraitIndustrialDisease:859232511925288990>,,<:R2:864278977133019157> <:I1:864278934195798046>,,,60,Prophecy of Kings,,Former garrison world with fond memories of the Lazax. Maintains formidable military with informal ties to the Winnu. Perpendicular rings make orbital navigation difficult.,,
Ang,<:TraitIndustrialDisease:859232511925288990>,<:TechWarfare:786336653085376558>,<:R2:864278977133019157> <:I0:864278934032351282>,,,61,Prophecy of Kings,,"High rotational speed creates extremely energized magnetosphere. Orbital taps use this to energize starship fuels, and power labs developing new beam weapons.",,
Sem-Lore,<:TraitCultural:859232305768038420>,<:TechCybernetic:786336610014724127>,<:R3:864278977321631754> <:I2:864278934249406474>,,,62,Prophecy of Kings,,"Home to the Semanora, and heavily damaged in the Twilight Wars. Rusting warship hulks litter the rad-deserts, making it a war memorial and salvage site.",,"semlore, sem lore"
Vorhal,<:TraitCultural:859232305768038420>,<:TechBiotic:786336544393920582>,<:R0:864278976553156640> <:I2:864278934249406474>,,,63,Prophecy of Kings,,"This icy world is wreathed by powerful storms, forcing inhabitants to live underground in geothermal vents. Pacifistic locals award yearly ""peace prizes"" to peacemakers across the galaxy.",,
Atlas,<:TraitHazardous:859232435321307156>,,<:R3:864278977321631754> <:I1:864278934195798046>,,,64,Prophecy of Kings,,"Heavy grav world and former Sol colony famed for squat, strong inhabitants and strategic location. Visitors need support exoskeletons to move on the surface.",,
Primor,<:TraitCultural:859232305768038420>,,<:R2:864278977133019157> <:I1:864278934195798046>,,,65,Prophecy of Kings,"**The Atrament**|<:Legendary:859233231635087390> Legendary - Primor|You may exhaust this card at the end of your turn to place up to 2 infantry from your reinforcements on any planet you control.|*A clade of assassin-scholars has watched over Primor, pledged to its populace's survival.*",Large temperate world. Site of several pitched battles during the Twilight Wars due to valuable osmium deposits and a well-educated populace.,,
Hope's End,<:TraitHazardous:859232435321307156>,,<:R3:864278977321631754> <:I0:864278934032351282>,,,66,Prophecy of Kings,"**Imperial Arms Vault**|<:Legendary:859233231635087390> Legendary - Hope's End|You may exhaust this card at the end of your turn to place 1 mech from your reinforcements on any planet you control or draw 1 action card.|*Buried deep beneath the surface, the lost vaults contain a legion's worth of weapons.*","Buried in the Ichal Nebula. The Lazax used the toxic wildlife and fierce aurora storms to train their troops. Even now, volatile weapon caches remain hidden beneath its sands.",,hopes end
Cormund,<:TraitHazardous:859232435321307156>,,<:R2:864278977133019157> <:I0:864278934032351282>,,,67,Prophecy of Kings,,A remote and sparsely settled Naaz-Rokha world destroyed during early entropic field tests. Now mining corporations harvest metals from the shattered core.,,
Everra,<:TraitCultural:859232305768038420>,,<:R3:864278977321631754> <:I1:864278934195798046>,,,68,Prophecy of Kings,,"Ancient world of red seas and bare rocks. Locals live in wondrous nano-carbon cities built by a mysterious ancient race, and mine nearby nebulae for rare gases.",,
Accoen,<:TraitIndustrialDisease:859232511925288990>,,<:R2:864278977133019157> <:I3:864278934786932746>,,,69,Prophecy of Kings,,"Populace lives on continent-sized fungal rafts that float atop a soupy, world-spanning ocean of useful bio-compounds. Popular research site for biologists.",,
Jeol Ir,<:TraitIndustrialDisease:859232511925288990>,,<:R2:864278977133019157> <:I3:864278934786932746>,,,69,Prophecy of Kings,,"Heavily industrialized world. Pollution has killed all life outside of dome cities, but twin suns provide constant power for factories and huge population.",,
Kraag,<:TraitHazardous:859232435321307156>,,<:R2:864278977133019157> <:I1:864278934195798046>,,,70,Prophecy of Kings,,"A heavily irradiated world known only for its dust mines. Recently, a massive ""tomb"" of dormant Titans was discovered in the southern hemisphere.",,
Siig,<:TraitHazardous:859232435321307156>,,<:R0:864278976553156640> <:I2:864278934249406474>,,,70,Prophecy of Kings,,"World covered in frozen, cesium-laced oceans. Archives buried deep beneath the surface use the cold to preserve relics and operate massive computers.",,
Alio Prima,<:TraitCultural:859232305768038420>,,<:R1:864278976524189727> <:I1:864278934195798046>,,,71,Prophecy of Kings,,"Wet planet covered in rivers, lakes, and small seas, but no oceans. Dry poles provide haven from constant floods. Numerous farms famous for luxury foodstuffs.",,
Ba'kal,<:TraitIndustrialDisease:859232511925288990>,,<:R3:864278977321631754> <:I2:864278934249406474>,,,71,Prophecy of Kings,,"Dry, rocky deserts stretch from pole to pole. Shield cities protect against sandstorms while supplying nomadic harvester crawlers that mine the barrens for salt compounds.",,bakal
Lisis,<:TraitIndustrialDisease:859232511925288990>,,<:R2:864278977133019157> <:I2:864278934249406474>,,,72,Prophecy of Kings,,"Primordial world with primitive native life. Potential for terraforming led to the infamous genocide of Saar settlements by Sardakk N'orr, and ongoing conflict between them and Naalu forces.",,
Velnor,<:TraitIndustrialDisease:859232511925288990>,<:TechWarfare:786336653085376558>,<:R2:864278977133019157> <:I1:864278934195798046>,,,72,Prophecy of Kings,,"Barren world of windswept rocks and thick, murky oceans. Lack of local lifeforms allows corporations to strip-mine the surface and test orbital kinetic weapons at the poles.",,
Cealdri,<:TraitCultural:859232305768038420>,<:TechCybernetic:786336610014724127>,<:R0:864278976553156640> <:I2:864278934249406474>,,,73,Prophecy of Kings,,Small cities huddle on the shores of the single ocean and avoid the arid continental interiors. Mentak ships hunt departing vessels carrying bespoke cybernetics.,,
Xanhact,<:TraitHazardous:859232435321307156>,,<:R0:864278976553156640> <:I1:864278934195798046>,,,73,Prophecy of Kings,,"Rebelled during the end of the Lazax Empire, and was bombarded to ash by a Lazax fleet as an example. Left by the Galactic Council as a memorial to Lazax tyranny.",,
Vega Major,<:TraitCultural:859232305768038420>,,<:R2:864278977133019157> <:I1:864278934195798046>,,,74,Prophecy of Kings,,Most of the population resides in orbital habitats supporting mining operations in the planetary ring. Surface colonization limited due to oceanic macrosquid infestations.,,
Vega Minor,<:TraitCultural:859232305768038420>,<:TechPropulsion:786336467832012821>,<:R1:864278976524189727> <:I2:864278934249406474>,,,74,Prophecy of Kings,,Famous for extremely shallow seas covering most of the surface and for the renowned Vega Propulsion Corporation. Stilt cities host vibrant multi-species populations.,,
Abaddon,<:TraitCultural:859232305768038420>,,<:R1:864278976524189727> <:I0:864278934032351282>,,,75,Prophecy of Kings,,A temperate planet whose low gravity allows for stunningly tall mountain ranges. Serves as a stop-over for trade troutes to the nearby Vorish Cluster.,,
Ashtroth,<:TraitHazardous:859232435321307156>,,<:R2:864278977133019157> <:I0:864278934032351282>,,,75,Prophecy of Kings,,"Covered in boggy landmasses and shallow seas. Algal blooms provide rich biomass for processed foods, but create smelly (and often toxic) offgassing.",,
Loki,<:TraitCultural:859232305768038420>,,<:R1:864278976524189727> <:I2:864278934249406474>,,,75,Prophecy of Kings,,"Cold and wracked with violent storms, Loki still hosts several Yssaril and human colonies, some of which have engaged in escalating shadow-conflicts.",,
Rigel I,<:TraitHazardous:859232435321307156>,,<:R0:864278976553156640> <:I1:864278934195798046>,,,76,Prophecy of Kings,,"Hot, innermost world of the Rigel system. Cities and native life cluster inland from the heavily alkaline oceans.",,rigel 1
Rigel II,<:TraitIndustrialDisease:859232511925288990>,,<:R1:864278976524189727> <:I2:864278934249406474>,,,76,Prophecy of Kings,,"Temperate world with expansive oceans. Covered in estates and resorts for the system's elite, with extensive fisheries that feed much of the rest of the system.",,rigel 2
Rigel III,<:TraitIndustrialDisease:859232511925288990>,<:TechBiotic:786336544393920582>,<:R1:864278976524189727> <:I1:864278934195798046>,,,76,Prophecy of Kings,,"Outermost world of the Rigel system, and extensively settled despite cooler temperatures, Boasts a diverse range of industries and research institutions.",,rigel 3
Mallice,<:TraitCultural:859232305768038420>,,<:R0:864278976553156640> <:I3:864278934786932746>,,,82,Prophecy of Kings,**Exterrix Headquarters**|<:Legendary:859233231635087390> Legendary - Mallice|You may exhaust this card at the end of your turn to gain 2 trade goods or convert all of your commodities to trade goods.|*Founded by black market traders that fled through a wormhole and ended up in the space between.*,"Trapped in a space believed to be beyond our universe, a shimmering world of strange energies and disconcerting warping of physical laws sitting at the heart of a strategically vital wormhole nexus.",,
Ordinian,<:bastion:1433554235500400751> Last Bastion,,<:R0:864278976553156640> <:I0:864278934032351282>,,,92,Thunder's Edge,"**4X41D ""Hyperion"" VI**|<:Legendary:859233231635087390> Legendary - Ordinian|You may exhaust this card when you pass to draw 1 action card and gain 1 command token.|*A shard of a greater whole, a part of a grand effort.*",The Nekro Virus consumed this former Naaz-Rokha colony virtually down to its bedrock. Restoration efforts have only begun to restore its ravaged biosphere.,,
Revelation,<:bastion:1433554235500400751> Last Bastion,<:comm:1053857614028607538>,<:R1:864278976524189727> <:I2:864278934249406474>,,,92,Thunder's Edge,,"Hanging like a cathedral above Ordinian, the space station Revelation was constructed practically overnight to serve as the Last Bastion's military and economic hub.",,
Mez Lo Orz Fei Zsha,<:ralnel:1433515089646059581> Ral Nel Consortium,,<:R2:864278977133019157> <:I1:864278934195798046>,,,93,Thunder's Edge,,"The great cities of Mez Lo Orz Fei Zsha cover most of the surface in their concentric, well-organized rings. Each city is owned and operated by its own massive corporate-consortium.",,
Rep Lo Orz Qet,<:ralnel:1433515089646059581> Ral Nel Consortium,,<:R1:864278976524189727> <:I2:864278934249406474>,,,93,Thunder's Edge,,"Arid and desolate except along its equatorial sea, the Ral Nel birth world has escaped the worst depredations of industrialization. The cities along the coast balance modern amenities with natural beauty.",,
Ikatena,<:deepwrought:1433537768541130773> Deepwrought Scholarate,,<:R4:864278977355186176> <:I4:864278934501195836>,,,94,Thunder's Edge,,"With over a milllion small islands and shallow, warm seas, Ikatena is considered a paradise by many species. Its recent Mahact occupation has left the once-peaceful planet scarred, but resolute.",,
Faunus,<:TraitIndustrialDisease:859232511925288990>,<:TechBiotic:786336544393920582>,<:R1:864278976524189727> <:I3:864278934786932746>,,,97,Thunder's Edge,"**Maxis Central Control**|<:Legendary:859233231635087390> Legendary - Faunus|You may exhaust this card when you pass to gain control of a non-home, non-legendary planet that contains no units and has no attachments.|*The Maxis order has agents and scientists embedded in research teams all across the galaxy.*","Faunus is ecologically rich, which supports the controversial biogenetics research of the Maxis order.",,
