Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
<:Relic:859234169862225921> Nano-forge,,,,,,,Codex 2: Affinity,"**Action:** Attach this card to a non-legendary, non-home planet you control; its resource and influence values are increased by 2 and it is a legendary planet.
This action cannot be performed once attached.","Intended to bring prosperity, the forge was twisted into an instrument of war.",,
<:Relic:859234169862225921> Neuraloop,,,,,,,Thunder's Edge,"When a public objective is revealed, you may purge one of your relics to discard that objective and replace it with a random objective from any objective deck; that objective is a public objective, even if it is a secret objective.",Knowledge. Creation. Control. Have a wonderful day.,,
<:Relic:859234169862225921> Scepter of Emelpar,,,,,,,Prophecy of Kings,"When you would spend a token from your strategy pool, you may exhaust this card to spend a token from your reinforcements instead.","As the hilt began to fuse with the flesh of her hand, she worried that she should set the scepter aside. But the whispered suggestions in her mind were too valuable and insightful to seriously consider such a rash and illogical act.",,
<:Relic:859234169862225921> Shard of the Throne,,,,,,,Prophecy of Kings,"When you gain this card, gain 1 victory point; when you lose this card, lose 1 victory point.|When a player gains control of a legendary planet you control or a planet you control in your home system, that player gains this card.","""What power does a broken piece of the Throne of Emperors hold? To me, none. But to everyone else...""",,
<:Relic:859234169862225921> Stellar Converter,,,,,,,Prophecy of Kings,"**Action:** Choose 1 non-home, non-legendary planet other than Mecatol Rex in a system that is adjacent to 1 or more of your units that have Bombardment; destroy all units on that planet and purge its attachments and its planet card.|Then, place the destroyed planet token on that planet and purge this card.","A power great enough to envelop a star, such that its energies might be concentrated...and scattered.",The destroyed planet is no longer a planet for game purposes.,
<:Relic:859234169862225921> The Codex,,,,,,,Prophecy of Kings,**Action:** Purge this card to take up to 3 action cards of your choice from the action card discard pile.,"No single tome could contain the collected knowledge of millennia of rulers. Thus, the last Emperor built a massive cruiser, its holds bulging with crystal info-matrices. It roams the outer reaches of the Mecatol system, awaiting a summons that will never come.",,
<:Relic:859234169862225921> The Crown of Emphidia,,,,,,,Prophecy of Kings,"After you perform a tactical action, you may exhaust this card to explore 1 planet you control.|At the end of the status phase, if you control the ""Tomb of Emphidia,"" you may purge this card to gain 1 victory point.",The machines of the forgotten throne-world could only be controlled through the data-impulses of the black-barbed crown.,,
<:Relic:859234169862225921> The Crown of Thalnos,,,,,,,Prophecy of Kings,"During each combat round, this card's owner may reroll any number of their dice, applying +1 to the results; any units that reroll dice but do not produce at least 1 hit are destroyed.","A cloud of satellites spewed from the dreadnought's hull, drifting into a halo around the vessel. The battle seemed to pause for one long moment, before the drones' weapons flared, unleashing beams of energy in all directions.",,
<:Relic:859234169862225921> The Obsidian,,,,,,,Prophecy of Kings,"When you gain this card, draw 1 secret objective.|You can have 1 additional scored or unscored secret objective.","The inky blackness of the blade evoked feelings of discomfort and nausea in all who saw it. All but Sharsiss. It whispered to him promises of power. Promises of a reckoning that would see the Collective unmade. ""Good,"" he thought. ""Let them burn.""",,blade
<:Relic:859234169862225921> The Prophet's Tears,,,,,,,Prophecy of Kings,"When you research a technology, you may exhaust this card to ignore 1 prerequisite or draw 1 action card.","""So you're going to drink a vial of murky liquid we found in a stasis vault on a dead world because you think it's the concentrated genetic essence of an entire species' most brilliant minds...and you think I'm being irrational?""",,"the prophets tears, prophets tears"
<:Relic:859234169862225921> The Quantumcore,,,,,,,Thunder's Edge,"When you gain this card, gain your breakthrough.|You have _Synergy_ for all technology types.|Blue **<>** Yellow **<>** Green **<>** Red","The core burned with the heat of a thousand stars, connections forming and reforming a thousand times per second.",,quantum
<:Relic:859234169862225921> The Silver Flame,,,,,,,Thunder's Edge,"The Silver Flame may be exchanged as part of a transaction.|**Action:** Roll 1 die and purge this card; if the result is a 10, gain 1 victory point. Otherwise, purge your home system and all units in it; you cannot score public objectives. Put The Fracture into play if it is not already.",Shen're Ix Ianovar. The flame beyond time and space.,,
<:Relic:859234169862225921> The Triad,,,,,,,Thunder's Edge,This card can be readied and spent as if it were a planet card. Its resource and influence values are equal to 3 plus the number of different types of relic fragments you own.,The light that shines without reflects the dark it harbors within.,,
